"","times","Eggs","L1","L2","L3","L4","Pupae","TenAd","Adults"
"205",205,0,0,3,11,62,0,0,0
"206",206,0,0,3,11,62,0,0,0
"207",207,0,0,3,11,62,0,0,0
"208",208,0,0,3,11,62,0,0,0
"209",209,0,0,3,11,62,0,0,0
"210",210,0,0,3,11,62,0,0,0
"211",211,0,0,3,11,62,0,0,0
"212",212,0,0,3,11,62,0,0,0
"213",213,0,0,3,11,62,0,0,0
"214",214,0,0,3,11,62,0,0,0
"215",215,0,0,3,11,62,0,0,0
"216",216,0,0,3,11,62,0,0,0
"217",217,0,0,3,11,62,0,0,0
"218",218,0,0,3,11,62,0,0,0
"219",219,0,0,3,11,62,0,0,0
"220",220,0,0,3,11,62,0,0,0
"221",221,0,0,3,11,62,0,0,0
"222",222,0,0,3,11,62,0,0,0
"223",223,0,0,3,11,62,0,0,0
"224",224,0,0,3,11,62,0,0,0
"225",225,0,0,3,11,62,0,0,0
"226",226,0,0,3,11,62,0,0,0
"227",227,0,0,3,11,62,0,0,0
"228",228,0,0,3,11,62,0,0,0
"229",229,0,0,3,11,62,0,0,0
"230",230,0,0,3,11,62,0,0,0
"231",231,0,0,3,11,62,0,0,0
"232",232,0,0,3,11,62,0,0,0
"233",233,0,0,3,11,62,0,0,0
"234",234,0,0,3,11,62,0,0,0
"235",235,0,0,3,11,62,0,0,0
"236",236,0,0,3,11,62,0,0,0
"237",237,0,0,3,11,62,0,0,0
"238",238,0,0,3,11,62,0,0,0
"239",239,0,0,2,12,62,0,0,0
"240",240,0,0,2,12,62,0,0,0
"241",241,0,0,2,12,62,0,0,0
"242",242,0,0,2,12,62,0,0,0
"243",243,0,0,2,12,62,0,0,0
"244",244,0,0,2,12,62,0,0,0
"245",245,0,0,2,12,62,0,0,0
"246",246,0,0,2,12,62,0,0,0
"247",247,0,0,2,12,62,0,0,0
"248",248,0,0,2,12,62,0,0,0
"249",249,0,0,2,12,62,0,0,0
"250",250,0,0,2,12,62,0,0,0
"251",251,0,0,2,12,62,0,0,0
"252",252,0,0,2,12,62,0,0,0
"253",253,0,0,2,12,62,0,0,0
"254",254,0,0,2,12,62,0,0,0
"255",255,0,0,2,12,62,0,0,0
"256",256,0,0,2,12,62,0,0,0
"257",257,0,0,2,12,62,0,0,0
"258",258,0,0,2,12,62,0,0,0
"259",259,0,0,2,12,62,0,0,0
"260",260,0,0,2,12,62,0,0,0
"261",261,0,0,2,12,62,0,0,0
"262",262,0,0,2,12,62,0,0,0
"263",263,0,0,2,12,62,0,0,0
"264",264,0,0,2,12,62,0,0,0
"265",265,0,0,2,12,62,0,0,0
"266",266,0,0,2,12,62,0,0,0
"267",267,0,0,2,12,62,0,0,0
"268",268,0,0,2,12,62,0,0,0
"269",269,0,0,2,12,62,0,0,0
"270",270,0,0,2,12,62,0,0,0
"271",271,0,0,2,12,62,0,0,0
"272",272,0,0,2,12,62,0,0,0
"273",273,0,0,2,12,62,0,0,0
"274",274,0,0,2,12,62,0,0,0
"275",275,0,0,2,12,62,0,0,0
"276",276,0,0,2,12,62,0,0,0
"277",277,0,0,2,11,63,0,0,0
"278",278,0,0,2,11,63,0,0,0
"279",279,0,0,2,11,63,0,0,0
"280",280,0,0,2,11,63,0,0,0
"281",281,0,0,2,11,63,0,0,0
"282",282,0,0,2,11,63,0,0,0
"283",283,0,0,2,11,63,0,0,0
"284",284,0,0,2,11,63,0,0,0
"285",285,0,0,2,11,63,0,0,0
"286",286,0,0,2,11,63,0,0,0
"287",287,0,0,2,11,63,0,0,0
"288",288,0,0,1,11,64,0,0,0
"289",289,0,0,0,11,65,0,0,0
"290",290,0,0,0,11,65,0,0,0
"291",291,0,0,0,11,65,0,0,0
"292",292,0,0,0,11,65,0,0,0
"293",293,0,0,0,11,65,0,0,0
"294",294,0,0,0,11,65,0,0,0
"295",295,0,0,0,11,65,0,0,0
"296",296,0,0,0,11,65,0,0,0
"297",297,0,0,0,11,65,0,0,0
"298",298,0,0,0,11,65,0,0,0
"299",299,0,0,0,10,66,0,0,0
"300",300,0,0,0,9,67,0,0,0
"301",301,0,0,0,9,67,0,0,0
"302",302,0,0,0,7,69,0,0,0
"303",303,0,0,0,7,69,0,0,0
"304",304,0,0,0,6,70,0,0,0
"305",305,0,0,0,6,70,0,0,0
"306",306,0,0,0,6,70,0,0,0
"307",307,0,0,0,6,70,0,0,0
"308",308,0,0,0,6,70,0,0,0
"309",309,0,0,0,6,70,0,0,0
"310",310,0,0,0,6,67,3,0,0
"311",311,0,0,0,5,65,6,0,0
"312",312,0,0,0,2,65,9,0,0
"313",313,0,0,0,2,55,19,0,0
"314",314,0,0,0,2,55,19,0,0
"315",315,0,0,0,2,54,20,0,0
"316",316,0,0,0,2,49,25,0,0
"317",317,0,0,0,2,42,32,0,0
"318",318,0,0,0,1,43,29,3,0
"319",319,0,0,0,1,43,29,3,0
"320",320,0,0,0,0,42,30,4,0
"321",321,0,0,0,0,40,31,5,0
"322",322,0,0,0,0,40,24,12,0
"323",323,0,0,0,0,39,21,16,0
"324",324,0,0,0,0,37,20,19,0
"325",325,0,0,0,0,37,19,20,0
"326",326,0,0,0,0,31,21,24,0
"327",327,0,0,0,0,27,18,31,0
"328",328,0,0,0,0,25,18,33,0
"329",329,0,0,0,0,18,21,37,0
"330",330,0,0,0,0,13,26,37,0
"331",331,0,0,0,0,8,29,39,0
"332",332,0,0,0,0,5,28,43,0
"333",333,0,0,0,0,5,25,46,0
"334",334,0,0,0,0,5,23,48,0
"335",335,0,0,0,0,5,23,48,0
"336",336,0,0,0,0,5,22,49,0
"337",337,0,0,0,0,3,23,50,0
"338",338,0,0,0,0,3,22,51,0
"339",339,0,0,0,0,3,18,55,0
"340",340,0,0,0,0,3,17,55,1
"341",341,0,0,0,0,3,15,52,6
"342",342,0,0,0,0,3,11,52,10
"343",343,0,0,0,0,2,7,55,12
"344",344,0,0,0,0,2,4,58,12
"345",345,0,0,0,0,2,3,56,15
"346",346,0,0,0,0,1,2,54,19
"347",347,0,0,0,0,1,2,49,24
"348",348,0,0,0,0,0,2,46,28
"349",349,0,0,0,0,0,2,43,31
"350",350,0,0,0,0,0,1,40,35
"351",351,0,0,0,0,0,1,38,37
"352",352,0,0,0,0,0,1,33,42
"353",353,0,0,0,0,0,0,32,44
"354",354,0,0,0,0,0,0,28,48
"355",355,0,0,0,0,0,0,26,50
"356",356,0,0,0,0,0,0,21,55
"357",357,0,0,0,0,0,0,16,60
"358",358,0,0,0,0,0,0,13,63
"359",359,0,0,0,0,0,0,11,65
"360",360,0,0,0,0,0,0,9,67
"361",361,0,0,0,0,0,0,8,68
"362",362,0,0,0,0,0,0,5,71
"363",363,0,0,0,0,0,0,3,73
"364",364,0,0,0,0,0,0,2,74
"365",365,0,0,0,0,0,0,1,75
"366",366,0,0,0,0,0,0,1,75
"367",367,0,0,0,0,0,0,1,75
"368",368,0,0,0,0,0,0,1,75
"369",369,0,0,0,0,0,0,1,75
"370",370,0,0,0,0,0,0,0,76
"371",371,0,0,0,0,0,0,0,76
"372",372,0,0,0,0,0,0,0,76
"373",373,0,0,0,0,0,0,0,76
"374",374,0,0,0,0,0,0,0,76
"375",375,0,0,0,0,0,0,0,76
"376",376,0,0,0,0,0,0,0,76
"377",377,0,0,0,0,0,0,0,76
"378",378,0,0,0,0,0,0,0,76
"379",379,0,0,0,0,0,0,0,76
"380",380,0,0,0,0,0,0,0,76
"381",381,0,0,0,0,0,0,0,76
"382",382,0,0,0,0,0,0,0,76
"383",383,0,0,0,0,0,0,0,76
"384",384,0,0,0,0,0,0,0,76
"385",385,0,0,0,0,0,0,0,76
"386",386,0,0,0,0,0,0,0,76
"387",387,0,0,0,0,0,0,0,76
"388",388,0,0,0,0,0,0,0,76
"389",389,0,0,0,0,0,0,0,76
"390",390,0,0,0,0,0,0,0,76
"391",391,0,0,0,0,0,0,0,76
"392",392,0,0,0,0,0,0,0,76
"393",393,0,0,0,0,0,0,0,76
"394",394,0,0,0,0,0,0,0,76
"395",395,0,0,0,0,0,0,0,76
"396",396,0,0,0,0,0,0,0,76
"397",397,0,0,0,0,0,0,0,76
"398",398,0,0,0,0,0,0,0,76
"399",399,0,0,0,0,0,0,0,76
"400",400,0,0,0,0,0,0,0,76
"401",401,0,0,0,0,0,0,0,76
"402",402,0,0,0,0,0,0,0,76
"403",403,0,0,0,0,0,0,0,76
"404",404,0,0,0,0,0,0,0,76
"405",405,0,0,0,0,0,0,0,76
"406",406,0,0,0,0,0,0,0,76
"407",407,0,0,0,0,0,0,0,76
"408",408,0,0,0,0,0,0,0,76
"409",409,0,0,0,0,0,0,0,76
"410",410,0,0,0,0,0,0,0,76
"411",411,0,0,0,0,0,0,0,76
"412",412,0,0,0,0,0,0,0,76
"413",413,0,0,0,0,0,0,0,76
"414",414,0,0,0,0,0,0,0,76
"415",415,0,0,0,0,0,0,0,76
"416",416,0,0,0,0,0,0,0,76
"417",417,0,0,0,0,0,0,0,76
"418",418,0,0,0,0,0,0,0,76
"419",419,0,0,0,0,0,0,0,76
"420",420,0,0,0,0,0,0,0,76
"421",421,0,0,0,0,0,0,0,76
"422",422,0,0,0,0,0,0,0,76
"423",423,0,0,0,0,0,0,0,76
"424",424,0,0,0,0,0,0,0,76
"425",425,0,0,0,0,0,0,0,76
"426",426,0,0,0,0,0,0,0,76
"427",427,0,0,0,0,0,0,0,76
"428",428,0,0,0,0,0,0,0,76
"429",429,0,0,0,0,0,0,0,76
"430",430,0,0,0,0,0,0,0,76
"431",431,0,0,0,0,0,0,0,76
"432",432,0,0,0,0,0,0,0,76
"433",433,0,0,0,0,0,0,0,76
"434",434,0,0,0,0,0,0,0,76
"435",435,0,0,0,0,0,0,0,76
"436",436,0,0,0,0,0,0,0,76
"437",437,0,0,0,0,0,0,0,76
"438",438,0,0,0,0,0,0,0,76
"439",439,0,0,0,0,0,0,0,76
"440",440,0,0,0,0,0,0,0,76
"441",441,0,0,0,0,0,0,0,76
"442",442,0,0,0,0,0,0,0,76
"443",443,0,0,0,0,0,0,0,76
